x;x`;h;h`;t1;t2;plast;x1;x2
0.22;1;0.2020;0.195;1.4;4.8;1;0.15;1.1
0.22;1;0.2020;0.195;1.4;4.8;1;0.15;1.1
0.22;1;0.2020;0.195;1.4;4.9;1;0.15;1.1
0.22;1;0.2020;0.195;1.4;4.9;1;0.15;1.1
0.22;1;0.2020;0.195;1.5;4.9;1;0.15;1.1
0.22;1;0.2120;0.196;0.9;3.2;2;0.15;1.1
0.22;1;0.2120;0.196;0.8;3.1;2;0.15;1.1
0.22;1;0.2120;0.196;0.9;3.3;2;0.15;1.1
0.22;1;0.2120;0.196;0.9;3.2;2;0.15;1.1
0.22;1;0.2120;0.196;1;3.3;2;0.15;1.1
0.22;1;0.2210;0.196;0.7;2.6;3;0.15;1.1
0.22;1;0.2210;0.196;0.7;2.6;3;0.15;1.1
0.22;1;0.2210;0.196;0.8;2.6;3;0.15;1.1
0.22;1;0.2210;0.196;0.7;2.5;3;0.15;1.1
0.22;1;0.2210;0.196;0.7;2.6;3;0.15;1.1
0.22;1;0.2300;0.197;0.6;2.2;4;0.15;1.1
0.22;1;0.2300;0.197;0.6;2.2;4;0.15;1.1
0.22;1;0.2300;0.197;0.7;2.2;4;0.15;1.1
0.22;1;0.2300;0.197;0.6;2.2;4;0.15;1.1
0.22;1;0.2300;0.197;0.6;2.2;4;0.15;1.1
0.22;1;0.2390;0.198;0.6;2;5;0.15;1.1
0.22;1;0.2390;0.198;0.6;2;5;0.15;1.1
0.22;1;0.2390;0.198;0.5;1.9;5;0.15;1.1
0.22;1;0.2390;0.198;0.5;2;5;0.15;1.1
0.22;1;0.2390;0.198;0.6;2;5;0.15;1.1
